protocol,7d_avg_tvl_mar20_2025,7d_avg_tvl_mar27_2025,difference
Rocket Pool,0,0,0
SuperForm,19932401.444174286,20416913.245014288,484511.80084000155
Balancer & Beets,50448231.812068574,41682000.405223124,-8766231.40684545
Avantis,11126777.995778572,11109224.514227143,-17553.481551429257
Polynomial,13493369.238140715,13654190.635023125,160821.39688240923
Extra Finance,70314629.20754999,72107818.1836375,1793188.9760875106
Gyroscope,3141780.832227143,2603823.1601085714,-537957.6721185716
Reservoir,0,0,0
QiDAO,4676380.98171,4749646.151894285,73265.17018428538
Silo,2894327.8457742855,2919165.866290625,24838.02051633969
Exactly,4123575.3390114284,4300111.89622,176536.55720857205
Ionic Protocol,2000278.3761128571,1975590.8369071428,-24687.53920571436
Ironclad Finance,136614.59817142857,139431.43302857145,2816.8348571428796
Lets Get HAI,3536924.2379357144,3533825.955245714,-3098.2826900002547
Maverick Protocol,1401529.1435271427,1366878.864969375,-34650.278557767626
Metronome,3899539.5100585716,4318775.547034375,419236.0369758038
Overnight Finance,9193165.401607143,9171436.805004286,-21728.596602857113
Peapods Finance,733661.2103914284,769788.0691042858,36126.858712857356
Sushi,15289925.999420715,16005272.010548,715346.0111272838
SynFutures,26965746.456872858,27229403.838808127,263657.38193526864
Thales,968476.1372157142,974470.6691,5994.531884285854
TLX Finance,551337.0508814285,612068.9504857144,60731.899604285834
